plot_id,design_weight,lange,breite,meereshohe,artenreichtum_gefasspflanzen,artenreichtum_neophyten,artenanteil_neophyten,deckungsanteil_neophyten,temperaturzahl,kontinentalitatszahl,feuchtezahl,reaktionszahl,nahrstoffzahl,strategie_c,strategie_r,strategie_s,lolium_multiflorum_p_a,veronica_filiformis_p_a,veronica_persica_p_a,medicago_sativa_p_a,erigeron_annuus_p_a,matricaria_discoidea_p_a,bromus_inermis_p_a,conyza_canadensis_aggr_p_a,impatiens_parviflora_p_a,juncus_tenuis_p_a,solidago_gigantea_p_a,vicia_villosa_p_a,hex10,hex20,BGR,kantone
3072,1,6.79,47,1306,60,0,0,0,2.954545455,3.135135135,2.723684211,3.175,2.714285714,1.181818182,0.75,1.068181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,54,Jura,Neuchâtel
3073,1,6.79,47.04,1078,59,0,0,0,3.451754386,2.947730399,3.304347826,3.0625,3.868073879,1.288915094,1.028301887,0.682783019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,54,Jura,Neuchâtel
3074,1,6.79,47.11,1182,29,1,0.034482758620689655,0.037037037037037035,3.205882353,3,3.027777778,3.142857143,3.9,1.142857143,1.380952381,0.476190476,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,198,54,Jura,Neuchâtel
3075,1,6.88,46.14,1869,51,0,0,0,2,3.227272727,3,3.581395349,2.195652174,1.239130435,0.413043478,1.347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,65,Alpennordflanke,Valais
3076,1,6.88,46.21,1447,59,0,0,0,2.886363636,2.897959184,3.614583333,2.914893617,2.921568627,1.215686275,0.607843137,1.176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,58,Alpennordflanke,Valais
3077,1,6.88,46.25,1607,71,0,0,0,2.832682292,3.113829787,2.759941804,3.529043789,2.816461684,1.414995641,0.612031386,0.972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,58,Alpennordflanke,Valais
3078,1,6.88,46.32,1000,59,1,0.01694915254237288,0.018518518518518517,3.651515152,3.257142857,2.515151515,3.425,2.853658537,1.166666667,0.928571429,0.904761905,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,58,Alpennordflanke,Valais
3079,1,6.88,46.46,518,49,0.04,8.163265306122449e-4,1.3726835964310225e-5,3.726551724,2.886956522,3.024725275,3.136488971,2.775167785,1.913602941,0.480238971,0.606158088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,66,Alpennordflanke,Vaud
3080,1,6.88,46.54,818,50,2,0.04,7.52445447705041e-4,3.262937063,2.992708333,3.435843794,3.281910009,3.61682243,1.085321101,1.02293578,0.891743119,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,59,Mittelland,Fribourg
3081,1,6.88,46.57,760,23,1,0.043478260869565216,0.045454545454545456,3.277777778,2.916666667,2.916666667,3,3.461538462,1,1.142857143,0.857142857,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,59,Mittelland,Fribourg
3082,1,6.88,46.61,870,23,0,0,0,3.45,3,3,3.0625,3.5,1.352941176,0.823529412,0.823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,59,Mittelland,Fribourg
3083,1,6.88,46.64,738,19,1,0.05263157894736842,9.410288582183182e-4,3.4896,3,3.162547018,3.276874435,3.999095841,1.548532731,0.730474041,0.720993228,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,59,Mittelland,Fribourg
3084,1,6.88,46.72,641,34,0,0,0,3.16700715,2.980099502,2.985572139,2.716097561,3.100487805,1.178015564,1.195525292,0.626459144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,67,Mittelland,Vaud
3085,1,6.87,47.11,1069,24,2,0.08333333333333333,0.09523809523809523,3.388888889,3,3.181818182,3.083333333,3.916666667,1.076923077,1.384615385,0.538461538,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,68,Jura,Neuchâtel
3086,1,6.96,46.46,1457,42,0,0,0,2.931818182,2.923076923,2.82,2.666666667,2.666666667,1.333333333,0.62962963,1.037037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,66,Alpennordflanke,Vaud
3087,1,6.96,46.61,840,40,0,0,0,3.222222222,3,3.217391304,3.083333333,3.6,1.307692308,0.923076923,0.769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,59,Alpennordflanke,Fribourg
3088,1,6.96,46.64,799,17,0,0,0,3.25,3,3.222222222,3.272727273,3.8,1.181818182,1,0.818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,59,Mittelland,Fribourg
3089,1,6.95,46.72,698,18,2,0.1111111111111111,0.1111111111111111,3.375,3,3.1,3.090909091,3.916666667,1.083333333,1.25,0.666666667,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,67,Mittelland,Fribourg
3090,1,6.95,46.75,705,31,1,0.03225806451612903,0.009000900090009,3.44606947,2.999443207,3.14019337,3.215859031,3.848804892,1.373282023,0.870808136,0.755909841,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,67,Mittelland,Fribourg
3091,1,6.95,47.11,1219,30,0,0,0,3.368269231,2.974754558,3.067605634,2.891463415,3.70027248,1.46723301,0.986650485,0.546116505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,68,Jura,Neuchâtel
3092,1,6.95,47.15,1193,29,0,0,0,3.15625,2.944444444,3.131578947,3.05,3.6,1.142857143,0.952380952,0.904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,68,Jura,Bern
3093,1,6.95,47.18,1041,31,1,0.03225806451612903,9.250693802035157e-4,3.222543353,3,3.282098765,3.128888889,3.928967814,1.219755827,0.882352941,0.897891232,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,61,Jura,Bern
3094,1,6.95,47.22,1002,26,1,0.038461538461538464,0.0026178010471204203,3.346590909,3,3.034090909,3.090721649,3.924623116,1.475409836,0.913934426,0.610655738,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,61,Jura,Jura
3095,1,6.95,47.26,519,32,0,0,0,3.409090909,2.84,3.2,3.2,3.461538462,1.192307692,0.961538462,0.846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,61,Jura,Jura
3096,1,6.95,47.36,770,48,0,0,0,3.283333333,2.787878788,3.090909091,2.852941176,3.138888889,1.378378378,0.702702703,0.918918919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,69,Jura,Jura
3097,1,7.04,46.21,1297,51,0,0,0,3.177419355,3.029411765,3.117647059,3.243243243,3.394736842,1.15,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,65,Alpennordflanke,Vaud
3098,1,7.04,46.39,1820,50,0,0,0,2.293103448,3.323529412,2.515151515,3.6875,2.428571429,1.114285714,0.628571429,1.257142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,66,Alpennordflanke,Vaud
3099,1,7.03,46.54,1200,52,1,0.019230769230769232,0.003623188405797105,3.275477707,2.943143813,3.116666667,3.094972067,3.545454545,1.329639889,1.024930748,0.645429363,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,248,66,Alpennordflanke,Fribourg
3100,1,7.03,46.75,721,22,0,0,0,3.25,3,3.107142857,3,3.875,1.117647059,1.235294118,0.647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,67,Mittelland,Fribourg
3101,1,7.03,46.9,434,26,2,0.07692307692307693,0.06551475881929446,3.785714286,3.071143086,3.070887446,3.084372707,3.636577708,1.816715543,1,0.183284457,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,74,Mittelland,Vaud
3102,1,7.03,47.18,1230,39,0,0,0,3.125,3.074074074,2.846153846,3.178571429,3.142857143,1.103448276,1.103448276,0.793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,75,Jura,Bern
3104,1,7.03,47.26,969,23,0,0,0,3.240645161,2.694323144,3.021929825,2.984279476,3.656794425,1.304878049,1.004355401,0.690766551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,75,Jura,Jura
3105,1,7.03,47.44,580,31,1,0.03225806451612903,6.489292667099288e-4,3.6886121,3,3.17866005,3.034749035,3.723435226,1.370656371,0.891891892,0.737451737,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,69,Jura,Jura
3106,1,7.12,45.96,1479,52,0,0,0,2.435483871,2.972972973,3.135135135,2.861111111,2.972972973,1.4,0.45,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,71,Westliche Zentralalpen,Valais
3107,1,7.11,46.32,1769,20,0,0,0,2.666666667,2.666666667,3.409090909,3,3.818181818,1.5,0.583333333,0.916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,72,Alpennordflanke,Vaud
3108,1,7.11,46.39,1561,45,0,0,0,2.408163265,2.766627771,3.22826087,2.76825029,3.694412771,1.601359003,0.653454134,0.745186863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,72,Alpennordflanke,Vaud
3109,1,7.11,46.54,1291,71,0,0,0,3.124444444,3.293604651,2.558370044,3.386892178,2.618736383,1.427385892,0.62033195,0.952282158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,73,Alpennordflanke,Fribourg
3110,1,7.11,46.57,1041,56,0,0,0,3.159889094,2.890703518,2.758887172,2.820950061,2.863529412,1.05052879,0.917743831,1.03172738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,73,Alpennordflanke,Fribourg
3111,1,7.11,46.64,759,22,1,0.045454545454545456,0.12473271560940832,3.33972311,3,3.25224647,3.00461042,3.989396035,1.282688766,1.087016575,0.630294659,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,73,Alpennordflanke,Fribourg
3112,1,7.11,46.68,687,30,1,0.03333333333333333,0.034482758620689655,3.346153846,3.066666667,2.941176471,3.277777778,3.666666667,1.315789474,0.842105263,0.842105263,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,73,Alpennordflanke,Fribourg
3113,1,7.11,46.75,640,13,1,0.07692307692307693,5.803830528148579e-4,3.472513089,3,3.168706294,3.002169197,3.995661605,1.382863341,0.997830803,0.619305857,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,67,Mittelland,Fribourg
3114,1,7.11,47.22,901,23,2,0.08695652173913043,0.08695652173913043,3.5,3,3.115384615,3.142857143,3.571428571,1.2,1,0.8,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,75,Jura,Bern
3115,1,7.11,47.33,724,20,0,0,0,3.125,2.909090909,3.272727273,3.083333333,3.583333333,1.076923077,1.076923077,0.846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,75,Jura,Jura
3116,1,7.11,47.47,427,16,1,0.0625,0.0010221465076660989,3.320473251,3.001032347,3.461448141,3.209982788,4,1.239848589,1.067790778,0.692360633,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,76,Mittelland,Jura
3117,1,7.19,45.93,1902,55,0,0,0,2.116666667,3.054054054,2.8,2.578947368,2.342105263,1.195121951,0.414634146,1.390243902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,71,Westliche Zentralalpen,Valais
3118,1,7.19,46.03,2228,37,0,0,0,2.019230769,3.172413793,2.566666667,2.153846154,2.033333333,1.161290323,0.387096774,1.451612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,71,Westliche Zentralalpen,Valais
3119,1,7.19,46.29,1967,50,0.05,0.001,0.0010416666666666667,2.155172414,3.3125,2.590909091,3.862068966,2.212121212,1.176470588,0.529411765,1.294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,72,Westliche Zentralalpen,Vaud
3120,1,7.19,46.32,2255,48,0,0,0,1.659274194,3.4617737,2.772423025,3.341430499,1.990566038,1.105614973,0.475935829,1.418449198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,72,Alpennordflanke,Vaud
3121,1,7.19,46.43,1823,34,0,0,0,2.837209302,2.393468118,3.104632588,2.960784314,3.217252396,1.205705706,0.828828829,0.965465465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,80,Alpennordflanke,Vaud
3122,1,7.19,46.47,1600,51,0,0,0,2.77027027,2.710526316,3.3625,2.9,3.097560976,1.666666667,0.404761905,0.928571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,80,Alpennordflanke,Vaud
3123,1,7.19,46.5,1189,34,0,0,0,3.291147132,2.806030151,3.005045409,2.934119961,3.13654224,0.945972495,1.060903733,0.993123772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,80,Alpennordflanke,Vaud
3124,1,7.19,46.68,1457,41,0,0,0,2.680270522,2.567334576,4.001746217,3.053349574,3.499650757,1.897788126,0.095925495,1.00628638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,73,Alpennordflanke,Fribourg
3125,1,7.19,46.75,709,28,0,0,0,3.431818182,2.945406125,3.067444877,2.974059663,3.612403101,1.54005168,0.919896641,0.54005168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,81,Mittelland,Fribourg
3126,1,7.19,47.26,937,17,0,0,0,3.4375,3,3.05,3.166666667,3.75,1,1.307692308,0.692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,75,Jura,Bern
3127,1,7.19,47.36,759,43,1,0.023255813953488372,0.024390243902439025,3.431034483,2.724137931,3.14516129,3.303030303,3.125,1.727272727,0.545454545,0.727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,83,Jura,Jura
3128,1,7.27,46.39,1163,38,0,0,0,3.05,2.863636364,3.340909091,3.083333333,3.6,1.307692308,0.730769231,0.961538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,80,Alpennordflanke,Bern
3129,1,7.27,46.5,1503,68,0,0,0,2.944444444,2.914893617,3.12,3.04,3.156862745,1.407407407,0.648148148,0.944444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,80,Alpennordflanke,Bern
3130,1,7.27,46.54,1802,48,0,0,0,2.505868545,2.905660377,3.221130221,2.72972973,2.764018692,1.0687361419999999,0.643015521,1.288248337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,80,Alpennordflanke,Bern
3131,1,7.27,46.61,990,48,0,0,0,3.083900227,3,3.267199017,3.483596598,3.716199756,1.537621359,0.484223301,0.97815534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,87,Alpennordflanke,Fribourg
3132,1,7.27,46.65,1400,45,0,0,0,2.183365759,3.348880597,2.30605227,3.224806202,2.640858209,1.061054579,0.519888992,1.419056429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,87,Alpennordflanke,Fribourg
3133,1,7.27,46.75,1007,27,0,0,0,3.277777778,3,3.076923077,3.133333333,3.533333333,1.0625,1.125,0.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,81,Alpennordflanke,Fribourg
3134,1,7.27,46.79,754,27,1,0.037037037037037035,9.407337723424278e-4,3.45971867,2.993610224,3.128293242,3.005197505,3.968847352,1.637590862,1.024922118,0.33748702,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,81,Mittelland,Fribourg
3135,1,7.27,46.83,711,32,0,0,0,3.315020456,3,3.106789858,3.001121915,3.377661561,1.305939484,0.806499813,0.887560702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,81,Mittelland,Fribourg
3136,1,7.27,46.86,600,28,0,0,0,3.346153846,2.933333333,3.142857143,3,3.588235294,1.166666667,1.166666667,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,88,Mittelland,Fribourg
3137,1,7.27,47,595,51,3,0.058823529411764705,0.001407789770061004,3.715483871,3.252915452,2.791576674,3.241247613,2.752330226,1.375,0.712939698,0.912060302,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,305,82,Mittelland,Bern
3138,1,7.27,47.36,561,35,1,0.02857142857142857,0.00207182320441989,3.238215488,3.003571429,3.150916784,3.131111111,3.753333333,1.064230343,1.205980066,0.72978959,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,83,Jura,Jura
3139,1,7.35,46.14,2524,38,0,0,0,1.375257732,2.219123506,3.412401575,1.954365079,2.348605578,1.246062992,0.188976378,1.56496063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,79,Westliche Zentralalpen,Valais
3140,1,7.35,46.18,1463,51,0,0,0,3.045454545,3.235294118,2.986111111,3.358974359,3.205128205,1.4,0.575,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,79,Westliche Zentralalpen,Valais
3141,1,7.35,46.32,2158,55,0,0,0,1.810084826,3.687986171,2.292241379,3.362532524,2.005163511,1.323580034,0.303786575,1.372633391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,86,Westliche Zentralalpen,Valais
3142,1,7.35,46.47,1771,68,0,0,0,2.358695652,3.041666667,3.156862745,3.434782609,2.72,1.384615385,0.5,1.115384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,80,Alpennordflanke,Bern
3143,1,7.35,46.5,1617,26,0,0,0,3.002145923,2.972,2.632478632,2.238095238,2.4743083,1.039370079,1.051181102,0.909448819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,80,Alpennordflanke,Bern
3144,1,7.35,46.54,1301,44,1,0.022727272727272728,0.022727272727272728,3.282608696,2.96,2.87037037,3.142857143,3.066666667,1.161290323,0.935483871,0.903225806,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,87,Alpennordflanke,Bern
3145,1,7.35,46.65,1858,63,0,0,0,2.294117647,3.238095238,2.695121951,3.333333333,2.558139535,1.23255814,0.534883721,1.23255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,87,Alpennordflanke,Bern
3146,1,7.35,46.68,1381,76,0,0,0,3.251097179,2.999470339,3.889844617,2.95575693,3.195044808,1.315789474,0.698947368,0.985263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,87,Alpennordflanke,Fribourg
3147,1,7.35,46.72,1028,29,0,0,0,3.3125,2.941176471,3.236842105,3.1,3.65,1.238095238,1.047619048,0.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,81,Alpennordflanke,Bern
3148,1,7.35,46.9,618,8,0,0,0,3.5,3,3.166666667,3,3.75,1.2,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,88,Mittelland,Bern
3149,1,7.35,47.04,573,26,2,0.07692307692307693,0.020730503455083923,3.485499463,3,3.029936975,3.024564995,3.972860125,1.891615542,1.009202454,0.099182004,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,82,Mittelland,Bern
3150,1,7.35,47.18,689,32,2,0.0625,0.003784295175023654,3.220245399,3.004410143,2.933149171,3.127332602,3.394396552,1.062298604,0.982814178,0.954887218,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,306,89,Jura,Bern
3151,1,7.35,47.22,1238,21,1,0.047619047619047616,7.209805335255948e-4,3.42472119,2.99766173,3.096259124,3.052833078,3.950995406,1.666156202,1.035222052,0.298621746,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,320,89,Jura,Bern
3152,1,7.43,46.11,2677,31,0,0,0,1.464285714,2.923076923,2.910714286,2.346153846,2.035714286,1,0.413793103,1.586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,93,Westliche Zentralalpen,Valais
3155,1,7.43,46.39,1742,44,0,0,0,2.416666667,3,3.133333333,3.142857143,3.1,1.25,0.6875,1.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,94,Alpennordflanke,Bern
3156,1,7.43,46.65,908,27,0,0,0,3.1,2.941176471,3.411764706,3,3.777777778,1.368421053,0.736842105,0.894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,87,Alpennordflanke,Bern
3157,1,7.43,46.72,1419,51,0,0,0,2.564570943,2.981549815,3.45705968,2.748725419,3.156848306,1.544267054,0.435413643,1.020319303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,95,Alpennordflanke,Bern
